Date,Samsung,Hyundai,SKHynix,KaKao,Naver
2025-06-04,57800,186000,217500,41600,185500
2025-06-05,59100,189600,224500,44300,191200
2025-06-09,59800,197800,229000,51400,198500
2025-06-10,59200,197000,230500,50000,200000
2025-06-11,59900,201000,240000,51400,201000
2025-06-12,59500,201500,235500,50500,198900
2025-06-13,58300,199000,235500,51500,200500
2025-06-16,57200,201500,248000,53200,209500
2025-06-17,58100,205000,249000,51800,206500
2025-06-18,59800,206000,246500,55200,243500
2025-06-19,59200,207000,246000,60400,252000
2025-06-20,59500,210000,257000,66600,269500
2025-06-23,58000,201500,259500,67600,290000
2025-06-24,60500,206000,278500,70400,290500
2025-06-25,61300,217000,286000,69400,283500
2025-06-26,60200,209500,293000,63100,261000
2025-06-27,60800,205000,284000,60900,257500
2025-06-30,59800,203500,292000,60000,262500
2025-07-01,60200,210000,285500,60100,262000
2025-07-02,60800,213500,279000,58700,252000
2025-07-03,63800,214500,278500,59500,253000
2025-07-04,63300,210500,270500,58400,249000
2025-07-07,61700,208500,271000,60100,256000
2025-07-08,61400,211000,282000,60800,258000
2025-07-09,60400,209500,281000,60500,254000
2025-07-10,61000,208000,297000,60800,259500
2025-07-11,62600,208000,294500,60000,253000
2025-07-14,62500,217000,300000,58300,249000
2025-07-15,63700,211000,298500,57200,249500
2025-07-16,64700,207500,296000,56100,250000
2025-07-17,66700,210000,269500,57500,243500
2025-07-18,67100,210500,269000,56900,242000
2025-07-21,67800,209000,272500,56900,240000
2025-07-22,66000,206500,268500,56500,235000
2025-07-23,66400,222000,269000,55000,231500
2025-07-24,66000,217500,269500,54100,227000
2025-07-25,65900,216500,266000,55800,234500
2025-07-28,70400,218500,262000,55900,235500
2025-07-29,70600,218000,262500,56000,233000
2025-07-30,72600,223000,263500,56300,234000
2025-07-31,71400,213000,273500,58000,235000
2025-08-01,68900,210000,258000,55500,225000
2025-08-04,69700,211000,258000,55400,232500
2025-08-05,69900,210500,263500,54700,232000
2025-08-06,68800,210500,258500,56800,228500
2025-08-07,70500,212500,262000,63600,235500
2025-08-08,71800,212500,256500,63800,229500
2025-08-11,71000,212500,267000,64200,223000
2025-08-12,71100,213000,269000,63700,223000
2025-08-13,71900,216000,278000,63500,225000
2025-08-14,71600,217500,276500,64400,224500
2025-08-18,70000,216500,267500,65000,226000
2025-08-19,70000,219000,263000,65200,225500
2025-08-20,70500,220500,255500,65300,221500
2025-08-21,70600,221500,245000,64000,223000
