거래일,CD수익률,"대표수익률(80~100일)
(거래량가중평균수익률)"
2024-12-31,3.39,3.40
2024-12-30,3.44,-
2024-12-27,3.44,3.44
2024-12-26,3.40,3.41
2024-12-24,3.40,-
2024-12-23,3.39,-
2024-12-20,3.39,3.39
2024-12-19,3.39,3.39
2024-12-18,3.38,3.39
2024-12-17,3.38,3.39
2024-12-16,3.38,3.38
2024-12-13,3.32,-
2024-12-12,3.31,3.31
2024-12-11,3.33,3.36
2024-12-10,3.30,3.34
2024-12-09,3.28,3.29
2024-12-06,3.28,3.28
2024-12-05,3.28,3.30
2024-12-04,3.28,-
2024-12-03,3.28,3.29
2024-12-02,3.28,3.29
2024-11-29,3.29,3.30
2024-11-28,3.29,-
2024-11-27,3.44,3.45
2024-11-26,3.44,3.45
2024-11-25,3.44,3.44
2024-11-22,3.44,3.44
2024-11-21,3.44,3.44
2024-11-20,3.44,3.45
2024-11-19,3.44,3.44
2024-11-18,3.44,3.44
2024-11-15,3.44,3.45
2024-11-14,3.44,-
2024-11-13,3.44,3.44
2024-11-12,3.44,3.45
2024-11-11,3.43,-
2024-11-08,3.43,3.43
2024-11-07,3.43,3.44
2024-11-06,3.44,-
2024-11-05,3.44,-
2024-11-04,3.43,3.43
2024-11-01,3.43,-
2024-10-31,3.43,3.43
2024-10-30,3.43,3.43
2024-10-29,3.41,3.41
2024-10-28,3.41,3.42
2024-10-25,3.40,3.40
2024-10-24,3.40,3.42
2024-10-23,3.40,3.41
2024-10-22,3.40,-
2024-10-21,3.39,-
2024-10-18,3.39,3.39
2024-10-17,3.39,3.40
2024-10-16,3.40,3.40
2024-10-15,3.40,3.40
2024-10-14,3.40,-
2024-10-11,3.40,3.39
2024-10-10,3.50,3.50
2024-10-08,3.51,3.51
2024-10-07,3.51,-
2024-10-04,3.52,3.51
2024-10-02,3.52,3.52
2024-09-30,3.53,3.53
2024-09-27,3.53,3.54
2024-09-26,3.53,3.54
2024-09-25,3.53,3.53
2024-09-24,3.53,3.53
2024-09-23,3.53,3.53
2024-09-20,3.53,3.54
2024-09-19,3.53,-
2024-09-13,3.53,3.54
2024-09-12,3.51,3.51
2024-09-11,3.51,3.51
2024-09-10,3.51,3.52
2024-09-09,3.51,3.51
2024-09-06,3.51,3.51
2024-09-05,3.51,3.52
2024-09-04,3.51,-
2024-09-03,3.51,-
2024-09-02,3.52,-
2024-08-30,3.52,-
2024-08-29,3.52,3.51
2024-08-28,3.52,3.52
2024-08-27,3.52,-
2024-08-26,3.51,-
2024-08-23,3.51,-
2024-08-22,3.51,3.51
2024-08-21,3.52,-
2024-08-20,3.51,3.51
2024-08-19,3.51,3.51
2024-08-16,3.51,3.51
2024-08-14,3.49,-
2024-08-13,3.49,3.51
2024-08-12,3.46,3.47
2024-08-09,3.47,3.47
2024-08-08,3.47,3.48
2024-08-07,3.48,3.49
2024-08-06,3.47,3.47
2024-08-05,3.48,-
2024-08-02,3.48,3.49
2024-08-01,3.49,3.48
2024-07-31,3.50,3.51
2024-07-30,3.50,3.50
2024-07-29,3.50,3.50
2024-07-26,3.50,3.50
2024-07-25,3.51,3.53
2024-07-24,3.51,3.51
2024-07-23,3.52,3.52
2024-07-22,3.52,3.52
2024-07-19,3.52,3.52
2024-07-18,3.52,3.53
