거래일,CD수익률
2025-01-02,3.26
2025-01-03,3.15
2025-01-06,3.1
2025-01-07,3.05
2025-01-08,3.04
2025-01-09,3
2025-01-10,3
2025-01-13,3
2025-01-14,3
2025-01-15,2.99
2025-01-16,2.99
2025-01-17,2.99
2025-01-20,2.99
2025-01-21,2.98
2025-01-22,3.03
2025-01-23,3.03
2025-01-24,3.03
2025-01-31,3.03
2025-02-03,3.02
2025-02-04,3
2025-02-05,3.01
2025-02-06,2.99
2025-02-07,2.99
2025-02-10,2.99
2025-02-11,2.99
2025-02-12,2.98
2025-02-13,2.98
2025-02-14,2.98
2025-02-17,2.97
2025-02-18,2.96
2025-02-19,2.95
2025-02-20,2.94
2025-02-21,2.88
2025-02-24,2.88
2025-02-25,2.85
2025-02-26,2.84
2025-02-27,2.85
2025-02-28,2.89
2025-03-04,2.85
2025-03-05,2.84
2025-03-06,2.84
2025-03-07,2.84
2025-03-10,2.84
2025-03-11,2.84
2025-03-12,2.84
2025-03-13,2.84
2025-03-14,2.84
2025-03-17,2.84
2025-03-18,2.84
2025-03-19,2.84
2025-03-20,2.84
2025-03-21,2.84
2025-03-24,2.84
2025-03-25,2.85
2025-03-26,2.85
2025-03-27,2.85
2025-03-28,2.84
2025-03-31,2.84
2025-04-01,2.84
2025-04-02,2.82
2025-04-03,2.81
2025-04-04,2.78
2025-04-07,2.76
2025-04-08,2.74
2025-04-09,2.74
2025-04-10,2.72
2025-04-11,2.72
2025-04-14,2.72
2025-04-15,2.72
2025-04-16,2.72
2025-04-17,2.71
2025-04-18,2.71
2025-04-21,2.71
2025-04-22,2.71
2025-04-23,2.74
2025-04-24,2.73
2025-04-25,2.72
2025-04-28,2.71
2025-04-29,2.71
2025-04-30,2.71
2025-05-02,2.71
2025-05-07,2.71
2025-05-08,2.7
2025-05-09,2.68
2025-05-12,2.66
2025-05-13,2.68
2025-05-14,2.67
2025-05-15,2.69
2025-05-16,2.7
2025-05-19,2.71
2025-05-20,2.68
2025-05-21,2.67
2025-05-22,2.67
2025-05-23,2.67
2025-05-26,2.67
2025-05-27,2.66
2025-05-28,2.63
2025-05-29,2.6
2025-05-30,2.59
2025-06-02,2.59
2025-06-04,2.58
2025-06-05,2.58
2025-06-09,2.57
2025-06-10,2.56
2025-06-11,2.57
2025-06-12,2.56
2025-06-13,2.56
2025-06-16,2.56
2025-06-17,2.56
2025-06-18,2.56
2025-06-19,2.56
2025-06-20,2.56
2025-06-23,2.57
2025-06-24,2.57
2025-06-25,2.57
2025-06-26,2.57
2025-06-27,2.57
2025-06-30,2.56
2025-07-01,2.54
2025-07-02,2.51
2025-07-03,2.51
2025-07-04,2.51
2025-07-07,2.51
2025-07-08,2.5
2025-07-09,2.51
2025-07-10,2.52
2025-07-11,2.52
2025-07-14,2.51
2025-07-15,2.51
2025-07-16,2.51
2025-07-17,2.51
2025-07-18,2.52
2025-07-21,2.51
2025-07-22,2.52
2025-07-23,2.51
2025-07-24,2.51
2025-07-25,2.51
2025-07-28,2.51
2025-07-29,2.51
2025-07-30,2.51
2025-07-31,2.51
2025-08-01,2.51
2025-08-04,2.5
2025-08-05,2.5
2025-08-06,2.5
2025-08-07,2.5
2025-08-08,2.5
2025-08-11,2.5
2025-08-12,2.5
2025-08-13,2.51
2025-08-14,2.5
2025-08-18,2.51
2025-08-19,2.52
2025-08-20,2.52
2025-08-21,2.52
2025-08-22,2.53
2025-08-25,2.53
2025-08-26,2.53
2025-08-27,2.53
2025-08-28,2.53
2025-08-29,2.53
2025-09-01,2.53
2025-09-02,2.53
2025-09-03,2.53
2025-09-04,2.56
2025-09-05,2.57
2025-09-08,2.56
2025-09-09,2.54
2025-09-10,2.55
2025-09-11,2.54
2025-09-12,2.54
2025-09-15,2.54
2025-09-16,2.56
2025-09-17,2.57
2025-09-18,2.56
