Date,asset,sell_ratio_ann,outlier_flag_ann
2025-06-04,Hyundai,1.0,1
2025-06-05,Hyundai,1.0,1
2025-06-09,Hyundai,1.0,1
2025-06-10,Hyundai,1.0,1
2025-06-11,Hyundai,1.0,1
2025-06-12,Hyundai,1.0,1
2025-06-13,Hyundai,1.0,1
2025-06-16,Hyundai,1.0,1
2025-06-17,Hyundai,1.0,1
2025-06-18,Hyundai,1.0,1
2025-06-19,Hyundai,1.0,1
2025-06-20,Hyundai,1.0,1
2025-06-23,Hyundai,1.0,1
2025-06-24,Hyundai,1.0,1
2025-06-25,Hyundai,1.0,1
2025-06-26,Hyundai,1.0,1
2025-06-27,Hyundai,1.0,1
2025-06-30,Hyundai,1.0,1
2025-07-01,Hyundai,1.0,1
2025-07-02,Hyundai,1.0,1
2025-07-03,Hyundai,1.0,1
2025-07-04,Hyundai,1.0,1
2025-07-07,Hyundai,1.0,1
2025-07-08,Hyundai,1.0,1
2025-07-09,Hyundai,1.0,1
2025-07-10,Hyundai,1.0,1
2025-07-11,Hyundai,1.0,1
2025-07-14,Hyundai,1.0,1
2025-07-15,Hyundai,1.0,1
2025-07-16,Hyundai,1.0,1
2025-07-17,Hyundai,1.0,1
2025-07-18,Hyundai,1.0,1
2025-07-21,Hyundai,1.0,1
2025-07-22,Hyundai,1.0,1
2025-07-23,Hyundai,1.0,1
2025-07-24,Hyundai,1.0,1
2025-07-25,Hyundai,1.0,1
2025-07-28,Hyundai,1.0,1
2025-07-29,Hyundai,1.0,1
2025-07-30,Hyundai,1.0,1
2025-07-31,Hyundai,1.0,1
2025-08-01,Hyundai,1.0,1
2025-08-04,Hyundai,1.0,1
2025-08-05,Hyundai,1.0,1
2025-08-06,Hyundai,1.0,1
2025-08-07,Hyundai,1.0,1
2025-08-08,Hyundai,1.0,1
2025-08-11,Hyundai,1.0,1
2025-08-12,Hyundai,1.0,1
2025-08-13,Hyundai,1.0,1
2025-08-14,Hyundai,1.0,1
2025-08-18,Hyundai,1.0,1
2025-08-19,Hyundai,1.0,1
2025-08-20,Hyundai,1.0,1
2025-08-21,Hyundai,1.0,1
2025-06-04,Hyundai,1.0,1
2025-06-05,Hyundai,1.0,1
2025-06-09,Hyundai,1.0,1
2025-06-10,Hyundai,1.0,1
2025-06-11,Hyundai,1.0,1
2025-06-12,Hyundai,1.0,1
2025-06-13,Hyundai,1.0,1
2025-06-16,Hyundai,1.0,1
2025-06-17,Hyundai,1.0,1
2025-06-18,Hyundai,1.0,1
2025-06-19,Hyundai,1.0,1
2025-06-20,Hyundai,1.0,1
2025-06-23,Hyundai,1.0,1
2025-06-24,Hyundai,1.0,1
2025-06-25,Hyundai,1.0,1
2025-06-26,Hyundai,1.0,1
2025-06-27,Hyundai,1.0,1
2025-06-30,Hyundai,1.0,1
2025-07-01,Hyundai,1.0,1
2025-07-02,Hyundai,1.0,1
2025-07-03,Hyundai,1.0,1
2025-07-04,Hyundai,1.0,1
2025-07-07,Hyundai,1.0,1
2025-07-08,Hyundai,1.0,1
2025-07-09,Hyundai,1.0,1
2025-07-10,Hyundai,1.0,1
2025-07-11,Hyundai,1.0,1
2025-07-14,Hyundai,1.0,1
2025-07-15,Hyundai,1.0,1
2025-07-16,Hyundai,1.0,1
2025-07-17,Hyundai,1.0,1
2025-07-18,Hyundai,1.0,1
